,Unnamed: 0,TIME_PERIOD,reporter,product,PRODQNT,PRODVAL
1032,1032,2013,AT,21202420,,0.0
1033,1033,2013,AT,21202430,,0.0
1034,1034,2013,AT,21202440,,0.0
1035,1035,2013,AT,21202460,,0.0
3046,3046,2013,BE,20141140,789174281.0,366029156.0
3047,3047,2013,BE,20141160,0.0,0.0
3048,3048,2013,BE,20141190,514864620.0,327499445.0
3049,3049,2013,BE,20141223,1108325254.0,1097268218.0
3050,3050,2013,BE,20141225,68958124.0,59404201.0
3051,3051,2013,BE,20141243,0.0,0.0
3052,3052,2013,BE,20141270,0.0,0.0
3053,3053,2013,BE,20141313,0.0,0.0
3054,3054,2013,BE,20141315,1465.0,1307.0
3055,3055,2013,BE,20141323,0.0,0.0
3056,3056,2013,BE,20141325,0.0,0.0
3057,3057,2013,BE,20141353,0.0,0.0
3058,3058,2013,BE,20141450,14905972.0,25584993.0
3059,3059,2013,BE,20141930,0.0,0.0
3060,3060,2013,BE,20141950,0.0,0.0
3061,3061,2013,BE,20142210,2319923.0,687809.0
3062,3062,2013,BE,20142320,9376823.0,11427616.0
3063,3063,2013,BE,20142439,327654.0,379797.0
3064,3064,2013,BE,20142450,0.0,0.0
3067,3067,2013,BE,20143219,116546416.0,132149124.0
3068,3068,2013,BE,20143235,14960832.0,14577578.0
3069,3069,2013,BE,20143250,2855341.0,2064503.0
3070,3070,2013,BE,20143271,2014582.0,672723.0
3071,3071,2013,BE,20143277,0.0,0.0
3072,3072,2013,BE,20143278,20026357.0,14165943.0
3073,3073,2013,BE,20143280,29539165.0,44616332.0
3074,3074,2013,BE,20143330,0.0,0.0
3075,3075,2013,BE,20143367,0.0,0.0
3076,3076,2013,BE,20143387,0.0,0.0
3078,3078,2013,BE,20144119,80095384.0,86861073.0
3079,3079,2013,BE,20144130,264406.0,1386662.0
3080,3080,2013,BE,20144170,3023604.0,9589931.0
3081,3081,2013,BE,20144290,268540.0,10479116.0
3082,3082,2013,BE,20144310,0.0,0.0
3083,3083,2013,BE,20144320,0.0,0.0
3084,3084,2013,BE,20144350,0.0,0.0
3085,3085,2013,BE,20144360,0.0,0.0
3086,3086,2013,BE,20144370,29852343.0,7854491.0
3087,3087,2013,BE,20144450,0.0,0.0
3088,3088,2013,BE,20145150,6846955.0,8041439.0
3089,3089,2013,BE,20145225,38794990.0,15137916.0
3090,3090,2013,BE,20145260,0.0,0.0
3091,3091,2013,BE,20145280,268351061.0,493722020.0
3092,3092,2013,BE,20145290,82177753.0,275072137.0
3093,3093,2013,BE,20146113,0.0,0.0
3094,3094,2013,BE,20146115,0.0,0.0
3095,3095,2013,BE,20146120,0.0,0.0
3096,3096,2013,BE,20146135,0.0,0.0
3097,3097,2013,BE,20146150,0.0,0.0
3098,3098,2013,BE,20146160,0.0,0.0
3099,3099,2013,BE,20146170,0.0,0.0
3101,3101,2013,BE,20146219,0.0,0.0
3102,3102,2013,BE,20146235,0.0,0.0
3103,3103,2013,BE,20146260,0.0,0.0
3105,3105,2013,BE,20146350,0.0,0.0
3243,3243,2013,BE,21101030,0.0,0.0
3244,3244,2013,BE,21101050,0.0,0.0
3245,3245,2013,BE,21101070,0.0,0.0
3246,3246,2013,BE,21102020,24418.0,51786.0
3247,3247,2013,BE,21102060,9687616.0,55334030.0
3248,3248,2013,BE,21103117,0.0,0.0
3249,3249,2013,BE,21103119,0.0,0.0
3250,3250,2013,BE,21103140,0.0,0.0
3251,3251,2013,BE,21103159,100429.0,32391357.0
3252,3252,2013,BE,21103180,0.0,0.0
3253,3253,2013,BE,21103200,2910787.0,50083973.0
3254,3254,2013,BE,21105100,,24486.0
3255,3255,2013,BE,21106020,,0.0
3256,3256,2013,BE,21201130,,0.0
3257,3257,2013,BE,21201180,,57244777.0
3258,3258,2013,BE,21201230,,0.0
3259,3259,2013,BE,21201250,,0.0
3260,3260,2013,BE,21201320,,218121776.0
3261,3261,2013,BE,21201360,,15667252.0
3262,3262,2013,BE,21201380,,3527004537.0
3263,3263,2013,BE,21202320,,0.0
3264,3264,2013,BE,21202460,,0.0
4613,4613,2013,BE,32505010,,0.0
4614,4614,2013,BE,32505020,,0.0
5536,5536,2013,BG,20141120,0.0,0.0
5537,5537,2013,BG,20141130,0.0,0.0
5538,5538,2013,BG,20141150,0.0,0.0
5539,5539,2013,BG,20141160,0.0,0.0
5540,5540,2013,BG,20141213,0.0,0.0
5541,5541,2013,BG,20141215,0.0,0.0
5542,5542,2013,BG,20141223,0.0,0.0
5543,5543,2013,BG,20141225,0.0,0.0
5544,5544,2013,BG,20141243,0.0,0.0
5545,5545,2013,BG,20141245,0.0,0.0
5546,5546,2013,BG,20141247,0.0,0.0
5547,5547,2013,BG,20141250,0.0,0.0
5548,5548,2013,BG,20141260,0.0,0.0
5549,5549,2013,BG,20141270,0.0,0.0
5550,5550,2013,BG,20141290,0.0,0.0
5551,5551,2013,BG,20141313,0.0,0.0
5552,5552,2013,BG,20141315,0.0,0.0
5553,5553,2013,BG,20141323,0.0,0.0
5554,5554,2013,BG,20141325,0.0,0.0
5555,5555,2013,BG,20141353,0.0,0.0
5556,5556,2013,BG,20141357,0.0,0.0
5557,5557,2013,BG,20141371,0.0,0.0
5558,5558,2013,BG,20141374,0.0,0.0
5559,5559,2013,BG,20141379,0.0,0.0
5560,5560,2013,BG,20141450,0.0,0.0
5561,5561,2013,BG,20141470,0.0,0.0
5562,5562,2013,BG,20141490,0.0,0.0
5563,5563,2013,BG,20141910,0.0,0.0
5564,5564,2013,BG,20141930,0.0,0.0
5565,5565,2013,BG,20141950,0.0,0.0
5566,5566,2013,BG,20141970,0.0,0.0
5568,5568,2013,BG,20142220,0.0,0.0
5569,5569,2013,BG,20142240,0.0,0.0
5570,5570,2013,BG,20142263,0.0,0.0
5571,5571,2013,BG,20142265,0.0,0.0
5572,5572,2013,BG,20142270,0.0,0.0
5573,5573,2013,BG,20142320,0.0,0.0
5574,5574,2013,BG,20142333,0.0,0.0
5575,5575,2013,BG,20142339,0.0,0.0
5576,5576,2013,BG,20142350,0.0,0.0
5577,5577,2013,BG,20142373,0.0,0.0
5578,5578,2013,BG,20142375,0.0,0.0
5579,5579,2013,BG,20142410,0.0,0.0
5580,5580,2013,BG,20142433,0.0,0.0
5581,5581,2013,BG,20142439,0.0,0.0
5582,5582,2013,BG,20142450,0.0,0.0
5586,5586,2013,BG,20143220,0.0,0.0
5587,5587,2013,BG,20143235,0.0,0.0
5588,5588,2013,BG,20143250,0.0,0.0
5589,5589,2013,BG,20143271,0.0,0.0
5590,5590,2013,BG,20143277,0.0,0.0
5591,5591,2013,BG,20143280,0.0,0.0
5592,5592,2013,BG,20143310,0.0,0.0
5593,5593,2013,BG,20143320,0.0,0.0
5594,5594,2013,BG,20143330,0.0,0.0
5595,5595,2013,BG,20143340,0.0,0.0
5596,5596,2013,BG,20143363,0.0,0.0
5597,5597,2013,BG,20143365,0.0,0.0
5598,5598,2013,BG,20143367,0.0,0.0
5599,5599,2013,BG,20143370,0.0,0.0
5600,5600,2013,BG,20143383,0.0,0.0
5601,5601,2013,BG,20143385,0.0,0.0
5602,5602,2013,BG,20143410,0.0,0.0
5603,5603,2013,BG,20143420,0.0,0.0
5604,5604,2013,BG,20143440,0.0,0.0
5605,5605,2013,BG,20143473,0.0,0.0
5606,5606,2013,BG,20143475,0.0,0.0
5608,5608,2013,BG,20144113,0.0,0.0
5609,5609,2013,BG,20144119,0.0,0.0
5610,5610,2013,BG,20144123,0.0,0.0
5611,5611,2013,BG,20144129,0.0,0.0
5612,5612,2013,BG,20144130,0.0,0.0
5613,5613,2013,BG,20144151,0.0,0.0
5614,5614,2013,BG,20144153,0.0,0.0
5615,5615,2013,BG,20144159,0.0,0.0
5616,5616,2013,BG,20144170,0.0,0.0
5617,5617,2013,BG,20144233,0.0,0.0
5618,5618,2013,BG,20144235,0.0,0.0
5619,5619,2013,BG,20144237,0.0,0.0
5620,5620,2013,BG,20144239,0.0,0.0
5621,5621,2013,BG,20144290,0.0,0.0
5622,5622,2013,BG,20144310,0.0,0.0
5623,5623,2013,BG,20144320,0.0,0.0
5624,5624,2013,BG,20144330,0.0,0.0
5625,5625,2013,BG,20144340,0.0,0.0
5626,5626,2013,BG,20144350,0.0,0.0
5627,5627,2013,BG,20144360,0.0,0.0
5628,5628,2013,BG,20144370,0.0,0.0
5629,5629,2013,BG,20144420,0.0,0.0
5630,5630,2013,BG,20144430,0.0,0.0
5631,5631,2013,BG,20144450,0.0,0.0
5632,5632,2013,BG,20144490,0.0,0.0
5633,5633,2013,BG,20145133,0.0,0.0
5634,5634,2013,BG,20145139,0.0,0.0
5635,5635,2013,BG,20145215,0.0,0.0
5636,5636,2013,BG,20145225,0.0,0.0
5637,5637,2013,BG,20145230,0.0,0.0
5638,5638,2013,BG,20145260,0.0,0.0
5639,5639,2013,BG,20145280,0.0,0.0
5640,5640,2013,BG,20145290,0.0,0.0
5641,5641,2013,BG,20145350,0.0,0.0
5642,5642,2013,BG,20145380,0.0,0.0
5643,5643,2013,BG,20146111,0.0,0.0
5644,5644,2013,BG,20146113,0.0,0.0
5645,5645,2013,BG,20146115,0.0,0.0
5647,5647,2013,BG,20146120,0.0,0.0
5648,5648,2013,BG,20146150,0.0,0.0
5649,5649,2013,BG,20146160,0.0,0.0
5650,5650,2013,BG,20146170,0.0,0.0
5652,5652,2013,BG,20146213,0.0,0.0
5653,5653,2013,BG,20146215,0.0,0.0
5654,5654,2013,BG,20146219,0.0,0.0
5655,5655,2013,BG,20146231,0.0,0.0
5656,5656,2013,BG,20146233,0.0,0.0
5657,5657,2013,BG,20146235,0.0,0.0
5659,5659,2013,BG,20146260,0.0,0.0
5660,5660,2013,BG,20146270,0.0,0.0
5662,5662,2013,BG,20146310,0.0,0.0
5663,5663,2013,BG,20146323,0.0,0.0
5664,5664,2013,BG,20146325,0.0,0.0
5665,5665,2013,BG,20146333,0.0,0.0
5666,5666,2013,BG,20146339,0.0,0.0
5667,5667,2013,BG,20146350,0.0,0.0
5668,5668,2013,BG,20146360,0.0,0.0
5669,5669,2013,BG,20146373,0.0,0.0
5670,5670,2013,BG,20146375,0.0,0.0
