TIME_PERIOD,COUNTRY,HS8_clean,sold_value_eur,sold_quantity
2013,AT,29011000,1548968.6589612411,280364.0604408887
2013,AT,29012100,6.313364522047379,1.1427219667773432
2013,AT,29012900,352458.3610075702,63795.1301704779
2013,AT,29021900,390031.8434707427,61479.304887692706
2013,AT,29024400,44.52378974628864,7.0181234952754235
2013,AT,29029000,4678.178194056471,737.4042615392963
2013,AT,29121100,20407.001933013944,11626.87203080276
2013,AT,29121200,2723.3543504911845,1551.6288297334645
2013,AT,29121900,156855.83990665613,89368.48165473879
2013,AT,29122100,40716.78304405336,23198.352580802133
2013,AT,29122900,90341.57031842304,51472.03301111953
2013,AT,29124100,708015.9070378913,403391.4621032482
2013,AT,29124200,28199.895048634524,16066.86626917555
2013,AT,29124900,672073.4862874303,382913.2983869594
2013,AT,29126000,10633.380986563,6058.35979196576
2013,AT,29130000,12782.781086843139,7282.978674787655
2013,AT,29151100,4320.312914336209,9080.156261052942
2013,AT,29151200,209968.09796397612,441297.4655197872
2013,AT,29151300,60173.87917703362,126469.59528049239
2013,AT,29152100,693617.2238334104,1457800.1414818293
2013,AT,29152900,710066.0195247781,1492371.1640316395
2013,AT,29153100,907058.710928155,1906397.7532382847
2013,AT,29153200,1891.9453772209058,3976.369305458526
2013,AT,29153300,5439.899414032816,11433.231273577221
2013,AT,29153900,179390.92194095,377032.32042127365
2013,AT,29154000,139111.40485991692,292375.41790806164
2013,AT,29155000,5794.917399523092,12179.385278542673
2013,AT,29224100,29065.954269727783,16836.079016201224
2013,AT,29224200,33561.970891046476,19440.33863872159
2013,AT,29231000,1383.2409140459833,801.2244535723164
2013,AT,29232000,79798.49122037583,46222.246518812455
2013,AT,29239000,135885.52473025574,78709.93707229751
2013,AT,29241200,21.76428011610813,12.606678465298684
2013,AT,29241900,688516.3870277655,398814.2342885963
2013,AT,29362100,10671.177847416448,
2013,AT,29362200,2802970.9161352944,
2013,AT,29362300,198052.89253227544,
2013,AT,29362400,51205.154084327485,
2013,AT,29362500,1934401.0114240686,
2013,AT,29362600,471543.6165799503,
2013,AT,29362700,2660382.675368744,
2013,AT,29362800,573479.199896584,
2013,AT,29362900,549362.3090147856,
2013,AT,29369000,169531.04711655425,
2013,AT,29381000,65390.15488136403,
2013,AT,29391100,338113.7447684208,
2013,AT,29391900,19033.543998026395,
2013,AT,29392000,2048.3020847318567,
2013,AT,29393000,554629.3253383198,
2013,AT,29394100,4380.598845648076,
2013,AT,29394900,296.36709840419115,
2013,AT,29395900,6235.510453836158,
2013,AT,29396200,117.44283860975334,
2013,AT,29396900,55.00969263892823,
2013,AT,29400000,83574100.0,38233005.0
2013,AT,30021200,10789938.888888888,
2013,AT,30021300,10789938.888888888,
2013,AT,30021400,10789938.888888888,
2013,AT,30021500,10789938.888888888,
2013,AT,30024110,10789938.888888888,
2013,AT,30024200,10789938.888888888,
2013,AT,30033900,1353603.774640144,
2013,AT,30043200,287999.7129106467,
2013,AT,30043900,2848471.512449209,
2013,AT,30063000,8455200.0,
2013,BE,29011000,4635031.198172705,8715229.59694902
2013,BE,29012100,104618043.7251786,196712866.01221493
2013,BE,29012200,41277977.94233097,77614807.68609214
2013,BE,29012300,666.4729381614866,1253.1662523696639
2013,BE,29012400,6024536.490602714,11327910.533050906
2013,BE,29012900,74619944.50411016,140307566.6721073
2013,BE,29021100,132219293.07232927,134575333.02258486
2013,BE,29021900,9889541.254482735,10065764.812662825
2013,BE,29022000,76771916.68340924,78139929.61526525
2013,BE,29023000,927314.7231474196,943838.7150961616
2013,BE,29024100,9652.20483171392,9824.199248437413
2013,BE,29024200,6542.755961527039,6659.342535785139
2013,BE,29024300,933165.0784310632,949793.3189387799
2013,BE,29024400,408132.2795040952,415404.8638082217
2013,BE,29025000,51669205.181260765,52589908.27062313
2013,BE,29026000,4344041.708379436,4421448.988154557
2013,BE,29027000,9423664.644199895,9591586.661203876
2013,BE,29029000,2565635.1640628288,2611352.6898781112
2013,BE,29031100,0.060677028507120014,0.06801212453169918
2013,BE,29031200,100.8046362477361,112.99065960438668
2013,BE,29031300,120.8042263135885,135.40795068814626
2013,BE,29031400,0.0018561802850462512,0.002080569332511674
2013,BE,29031500,0.1085614631578402,0.12168519015014222
2013,BE,29032100,0.07868699397554174,0.08819927021742055
2013,BE,29032200,0.023729007427753426,0.02659754849400059
2013,BE,29032300,0.05889609877417023,0.0660159026045596
2013,BE,29032900,39.458730666547936,44.22879910213674
2013,BE,29041000,25294995.22292652,14737017.537314802
2013,BE,29042000,289997.777073482,168954.46268519846
2013,BE,29051100,319440.2797115775,1077445.7037190876
2013,BE,29051200,160237.77851143613,540468.8043302522
2013,BE,29051300,160819.8367101847,542432.0386040338
2013,BE,29051700,1583.8231134635123,5342.1046669287725
2013,BE,29051900,36424.39666726925,122856.48427037342
2013,BE,29052200,9302.88528606888,31377.864409324062
2013,BE,29053100,10210224.596701236,8377903.915699816
2013,BE,29053200,458783.4833328888,376450.47913195094
2013,BE,29054100,3.4068004413201747,2.7954181112299508
2013,BE,29054200,310585.8211122717,254848.27901807643
2013,BE,29054300,307.9524202203187,252.68746664462208
2013,BE,29054500,181545.24003885483,148965.2419487017
2013,BE,29054900,9809.574700249848,8049.154405391368
2013,BE,29061100,33908.83422864826,27823.57551202073
2013,BE,29061200,584.5175970304417,479.6204254447978
2013,BE,29061900,107643.22146551692,88325.634570846
2013,BE,29062100,43077.14855730404,35346.54974113107
2013,BE,29062900,71142.20304533695,58375.06666186416
2013,BE,29071100,22443.17936990549,19361.915689873837
2013,BE,29071200,32109.562751310037,27701.18424768426
2013,BE,29071300,5153.639088641796,4446.086888389953
2013,BE,29072100,54114.97832957589,46685.43750898206
2013,BE,29072200,6026.534848409637,5199.141249722381
2013,BE,29072300,623.1631710384977,537.6080001775894
2013,BE,29072900,52005.26740904717,44865.37252175226
2013,BE,29081900,17329.85295183239,14950.606874408406
2013,BE,29089100,41.587388565102,35.87778263890955
2013,BE,29089900,50.73469167399,43.76923637034921
2013,BE,29121100,227.0378378367,92.17531257924948
2013,BE,29121200,1.1262572463632219,0.4572502747442641
2013,BE,29121900,2232.7879688076373,906.4917588585458
2013,BE,29122100,32.072914949953564,13.021313931671749
2013,BE,29122900,76.92441923460156,31.230619774605984
2013,BE,29124100,148.67528370210977,60.36082301800058
2013,BE,29124200,0.2875103902206734,0.11672662293161028
2013,BE,29124900,195.9494069642093,79.55369029560471
2013,BE,29125000,103.33468530271088,41.952949379771084
2013,BE,29126000,0.5948410425409066,0.24150009334836808
2013,BE,29130000,27.4588745229531,11.148055171526384
2013,BE,29141100,398576.68365006294,258615.25253850003
2013,BE,29141200,508781.97007980634,330121.6129209065
2013,BE,29141300,261682.59696837194,169791.9463832022
2013,BE,29142200,44162.08356183005,28654.431785568937
2013,BE,29142300,420.4983045351063,272.83902867442714
2013,BE,29142900,23950.275413849868,15540.062373436414
2013,BE,29143900,20083.08223811364,13030.846002324608
2013,BE,29145000,47769.16948649256,30994.878368625145
2013,BE,29146100,63.39029693750454,41.130598761708704
2013,BE,29151100,46958.59011154517,41929.24806808544
2013,BE,29151200,101502.02392407956,90630.9906327261
2013,BE,29151300,1342.6337368041432,1198.8354608031705
2013,BE,29152100,12414880.558325924,11085226.48208124
2013,BE,29152400,2819104.770740255,2517174.0246355925
2013,BE,29152900,129788.0292509845,115887.5183817437
2013,BE,29153100,5113454.592870841,4565795.216595727
2013,BE,29153200,7953495.923508994,7101663.46121463
2013,BE,29153300,42591.599433730415,38029.969256558834
2013,BE,29153900,732054.9743775681,653650.6855772587
2013,BE,29154000,3490.9571844014777,3117.0699425204334
2013,BE,29155000,390792.9179634466,348938.3552959731
2013,BE,29173200,56874.206864928645,39703.38243380058
2013,BE,29173300,58798.586629920435,41046.77498323499
2013,BE,29173400,214897.07975236315,150017.7569346702
2013,BE,29173500,52075.18475104354,36353.22740221735
2013,BE,29173600,3409.682446569192,2380.2692576524128
2013,BE,29173700,12929.681839244786,9026.09690944911
2013,BE,29181100,92201.66712531561,64365.171009844154
2013,BE,29181200,25174.932804355547,17574.398659314193
2013,BE,29181300,6509.799755191554,4544.433821497581
2013,BE,29181400,576978.7669607797,402783.7908180608
2013,BE,29181500,566842.9595078005,395708.0729880659
2013,BE,29181600,66845.15617706232,46664.01424898996
2013,BE,29181800,403.9487382392055,281.9930531260254
2013,BE,29182900,2048231.3086442286,1429852.220236103
2013,BE,29183000,108223.51474078652,75549.88158846991
2013,BE,29189100,26.523262171025088,18.515655503892997
2013,BE,29211100,316689.833764832,269902.93477163994
2013,BE,29212100,30164.155299525224,25707.784627829325
2013,BE,29212200,16654396.714417126,14193921.215072203
2013,BE,29212900,223909.14737130117,190829.41589658597
2013,BE,29214100,79.73885981175638,67.95845645780682
2013,BE,29214200,58556.13119159547,49905.206837870544
2013,BE,29214300,67423.89649200541,57462.872491337905
2013,BE,29214400,413312.22451143654,352250.59499532176
2013,BE,29214500,2314691.7024300634,1972725.4144866532
2013,BE,29214600,20.26975217903891,17.275153847467706
2013,BE,29214900,12533311.51924346,10681673.99387692
2013,BE,29221100,4244544.142470134,108771.56851960889
2013,BE,29221200,783698.1576994042,20083.211529350185
2013,BE,29222100,38785.41362532975,993.9230537142685
2013,BE,29222900,3976618.8360850327,101905.65905008349
2013,BE,29223100,6077.682878272212,155.7479619589305
2013,BE,29223900,23295.486337363138,596.9749643992392
2013,BE,29224100,12506057.488682183,2192966.7974204076
2013,BE,29224200,379074.75032043224,66471.65519153043
2013,BE,29224300,31145.893243700226,798.1511199669188
2013,BE,29224400,4540.954369253795,116.36743846708198
2013,BE,29225000,1370409.4332915093,35118.396362450985
2013,BE,29231000,15224.44720412772,2669.6428717001004
2013,BE,29232000,554943.7917592397,97310.70809997016
2013,BE,29239000,4692959.113226866,822921.4943455771
2013,BE,29241100,5821.419850610915,1020.7997570606908
2013,BE,29241200,46831.23870363775,8211.968612177634
2013,BE,29241900,9491995.750252903,1664443.9337015762
2013,BE,29242100,10210.892031115736,38808.250114340146
2013,BE,29251100,47811.92425227517,181717.43557525708
2013,BE,29252100,7300.128731419163,27745.393919794387
2013,BE,29252900,145142.13104682288,551637.614679386
2013,BE,29261000,1359966.3999610406,5168786.041019358
2013,BE,29262000,466.7239773264732,1773.8646918653417
2013,BE,29302000,7699290.276537492,6555629.4160025045
2013,BE,29303000,64127.31999467343,54601.77889481338
2013,BE,29311000,272465.9925850549,231993.6009289139
2013,BE,29312000,5555.410882780172,4730.204173768664
2013,BE,29321100,6007246.5101537015,2983375.911574374
2013,BE,29321900,3915241.321351926,1944424.3925030967
2013,BE,29329100,37895.75747323622,18820.15159614697
2013,BE,29329300,3849.8833665388743,1911.9657032035236
2013,BE,29329500,989.546568598088,491.43803090928594
